"date_of_meeting"	"type_of_meeting"	"scanned_minutes_file"	"scanned_minutes_page"	"case_ids"	"text"	"year"	"month"	"day"
"1"	1944-08-24	"closed"	"19440824B_81.pdf"	1	"no related record"	"Mødet den 24. August 1944.
(For lukkede Døre).
Fraværende: Esther Aggebo, K. Mousten og Sigvald Nielsen.
"	1944	8	24
"2"	1944-08-24	"closed"	"19440824B_81.pdf"	1	"624-1944"	"Meddelelse fra Indenrigsministeriet om Samtykke til, at Kommunen paatager sig Garanti for et Laan paa 1.100.000 Kr. til Gudenaacentralen.
Toges til Efterretning.
"	1944	8	24
"3"	1944-08-24	"closed"	"19440824B_81.pdf"	1	"512-1944"	"Indenrigsministeriets Samtykke til, at Kommunen anvender en Restlaanebeholdning til forskellige Ejendomerhvervelser og Anlægsarbejder m. v.
Toges til Efterretning-
"	1944	8	24
"4"	1944-08-24	"closed"	"19440824B_81.pdf"	1	"29_2-1944"	"Meddelelse fra Indenrigsministeriet om, at der ikke bør ydes Pension til fhv. visiterende Læge Ch. Kaalund-Jørgensen.
Toges til Efterretning.
"	1944	8	24
"5"	1944-08-24	"closed"	"19440824B_81.pdf"	1	"17_9-1944"	"Meddelelse fra Aarhus Stiftamt om, at der ikke kan bevilges Husassistent Mary J. H. Sørensen Lægehjælp uden valgretsfortabende Virkning.
Toges til Efterretning.
"	1944	8	24
"6"	1944-08-24	"closed"	"19440824B_81.pdf"	1	"16_20-1944"	"Aarhus Stiftamts Godkendelse af, at Kommunehjælp ydet Handlende Hansine M. Thomsen
"	1944	8	24
"7"	1944-08-24	"closed"	"19440824B_81.pdf"	2	"16_20-1944"	"ikke skal have valgretsfortabende Virkning.
Toges til Efterretning.
"	1944	8	24
"8"	1944-08-24	"closed"	"19440824B_81.pdf"	2	"771-1944"	"Anerkendelse fra Kreditforeningen af Kommuner i Danmark af Modtagelse af Opsigelse af Laan til 10.157.868,50 Kr.
Toges til Efterretning.
"	1944	8	24
"9"	1944-08-24	"closed"	"19440824B_81.pdf"	2	"796-1944"	"Indstilling fra Budgetudvalget om Optagelse af Laan paa 6 Mill. Kr.
Følgende Indstilling forelaa:
\"Idet Udvalget i Henhold til den Bemyndigelse, som Byraadet i sit Møde den 29. Juni meddelte Udvalget, har accepteret det i Økonomidirektørens Redegørelse omhandlede Laanetilbud paa 6 Mill. Kr. til effektiv Rente paa 3,50 %, saaledes at Provenuet af Laanet anvendes til delvis Indfrielse af de i Redegørelsen nævnte Kommunekreditforeningslaan, medens man har besluttet at tilbagekalde Opsigelse af de nævnte Laan for saa vidt angaar 3.735.000 Kr., skal man herved anmode om Byraadets Godkendelse af de anførte Dispositioner; ligeledes skal man henstille, at Borgmesteren og Landsretssagfører I. C. Sørensen bemyndiges til paa Byraadets Vegne at underskrive fornævnte Overenskomst med Veksellerer Thorkild G. E. Larsen, København, angaaende det accepterede Laan samt de enkelte Partialobligationer.
Borgmesteren erindrede om, at Budgetudvalget havde faaet Bemyndigelse til at optage Laan paa 10 Mill. Kr. til højst 3 1/2 % og Løbetid mindst 15 Aar. Det var Hensigten at konvertere Laanet i Kommunekreditforeningen, og man havde samtidig spurgt Bankkonsortiet, om det vilde give
"	1944	8	24
"10"	1944-08-24	"closed"	"19440824B_81.pdf"	3	"796-1944"	"Tilbud paa Laan, men det ønskede Konsortiet ikke, da det næppe vilde have Interesse for Kommunen. Udvalget foreslog nu, at man nøjes med at opsige de 6 Mill. Kr. i Kreditforeningen og lader Resten blive staaende; der var da Mulighed for senere at opsige Resten, hvis Vilkaarene bliver saaledes, at det har Interesse.
Indstillingen vedtoges.
"	1944	8	24
"11"	1944-08-24	"closed"	"19440824B_81.pdf"	3	"681-1944"	"Licitationstilbud paa Anlæg af Bøgebjergvej og en Del af Egebæksvej.
Udvalget indstiller at overdrage Arbejdet til Oscar M. Haugaard for 27.915,80 Kr. Med Tillæg af Materialer m. v. vil hele Udgiften andrage 64500 Kr.
Vedtaget ved Cirkulation.
"	1944	8	24
"12"	1944-08-24	"closed"	"19440824B_81.pdf"	3	"692-1944"	"Indstilling fra Sygehusudvalget om, at den oprettede Stilling aom 1. Reservelæge ved den dermato-venerologiske Afdeling paa Marselisborg Hospital besættes med den nuværende 2. Reservelæge G. Auken
Vedtaget ved Cirkulation.
"	1944	8	24
"13"	1944-08-24	"closed"	"19440824B_81.pdf"	3	"709-1944"	"Andragende fra Afdelingslæge ved Kommunehospitalet Dr. med. C. E. Prip Buus om at maatte overtage en Stilling som visiterende Kirurg ved Vejlefjord Sanatorium.
Anbefalet af Professor Aage Nielsen.
Fra Sygehusudvalget forelaa følgende Indstilling:
\"Fremsendes til Byraadet med Anbefaling af, at den ansøgte Tilladelse til at modtage Stillingen som visiterende Kirurg ved Vejlefjord Sanatorium gives Afdelingslæge Prip Buus med Bemærkning om, at den kun er gældende indtil videre.
"	1944	8	24
"14"	1944-08-24	"closed"	"19440824B_81.pdf"	4	"709-1944"	"Udvalgets Anbefaling er dels baseret paa Professor Aage Nielsens Udtalelse, dels dikteret af Ønsket om at bane Vejen for nye Forhandlinger med Ministeriet og Sundhedsstyrelsen om Indførelse af en Ordning for Udførelse af Lungekirurgi paa Aarhus Kommunehospital, der da, som Tilfældet er med de neurologiske Afdelinger, skulde være Landsdelshospital for dette Sygdomsspeciale.\"
Vedtaget ved Cirkulation.
"	1944	8	24
"15"	1944-08-24	"closed"	"19440824B_81.pdf"	4	"673-1944"	"Andragende fra Ekspeditionssekretær ved Socialkontoret H. P. Philipsen om 1 Aars Orlov.
Anbefalet af Socialudvalget.
Tiltraadt ved Cirkulation.
"	1944	8	24
"16"	1944-08-24	"closed"	"19440824B_81.pdf"	4	"251-1944"	"Andragende fra Restauratør Bjørn Rasmussen om Samtykke til paa sin Beværterbevilling at drive Restauration paa Aarhus Cyklebane.
Anbefalet ved Cirkulation.
"	1944	8	24
"17"	1944-08-24	"closed"	"19440824B_81.pdf"	4	"99_28-1944"	"Andragende om, at Anskaffelsessummen for Boligforeningen Ringgaarden, Underafdeling III’s Ejendomme ved Kaserneboulevarden godkendes for 589.060,61 Kr. i Stedet for som oprindelig anslaaet 549.897,98 Kr.
Anbefalet af Budgetudvalget.
Tiltraadtes.
"	1944	8	24
"18"	1944-08-24	"closed"	"19440824B_81.pdf"	4	"116-1944"	"Andragende om Garanti for Laan til Boligindskud i Arbejdernes Andelsboligforening for:
a.Rørlægger H. T. Nielsen...............500Kr.
b.Forretningsfører H. Lønskov...........900\"
c.Dekorationschef O. Lings..............1000\"
Overgik til 2. Behandling.
"	1944	8	24
"19"	1944-08-24	"closed"	"19440824B_81.pdf"	5	"116-1944"	"Andragende om Garanti for Laan til Boligindskud i Det sociale Boligbyggeri paa 655 Kr. for Bager A. F. Ludvig.
Overgik til 2. Behandling.
"	1944	8	24
"20"	1944-08-24	"closed"	"19440824B_81.pdf"	5	"99_40-1944"	"Andragende fra Repræsentant Max G. Andresen om Statslaan med Kommunegaranti til en Villa Bøgebjergvej 2.
Udvalget for Byens Udvidelse og Bebyggelse anbefaler Andragendet, samt at Kommunen garanterer for den Del af Statslaanet, der placeres mellem 80 og 85 % af Anskaffelsessum eller ialt 1521 Kr.
Overgik til 2. Behandling.
"	1944	8	24
"21"	1944-08-24	"closed"	"19440824B_81.pdf"	5	"99_31-1944"	"Andragende fra Tømrer J. L. Kristensen om Statslaan med Kommunegaranti til en Villa Roald Amundsensvej 18.
Udvalget for Byens Udvidelse og Bebyggelse indstiller, at Andragendet anbefales, og at Kommunen paatager sig Garanti for den Del af Statslaanet, der overstiger 80% af Anskaffelsessummen eller ialt 1228 Kr.
Overgik til 2. Behandling.
"	1944	8	24
"22"	1944-08-24	"closed"	"19440824B_81.pdf"	5	"735-1944"	"Andragende fra Fru Politimester Hoeck om Tilskud til det af hende ledede særlige filantropiske Arbejde.
Budgetudvalget anbefaler at yde 4000 Kr.
Overgik til 2. Behandling.
"	1944	8	24
"23"	1944-08-24	"closed"	"19440824B_81.pdf"	5	"717-1944"	"Indstilling om Bevilling af 10500 Kr. til Istandsættelse af Skader paa Moesgaard Strand forvoldt ved Sprængning af Ammunition.
Budgetudvalget foreslaar, at Beløbet bevilges paa Skovvæsenets Konto. Endvidere indstilles, at man lader de nu ødelagte Sømærketræer blive staaende i den Tilstand, hvori de nu er.
"	1944	8	24
